Roll,Pitch,Time
-139.88,1.86,0.001
-139.34,3.4,0.0011
-138.93,2.83,0.0013
-137.9,1.31,0.0014
-139.89,3.13,0.0016
-139.98,2.53,0.0017
-139.26,3.58,0.0019
-138.2,2.03,0.002
-138.06,2.23,0.0021
-138.52,2.11,0.0022
-135.97,2.67,0.0024
-138.19,2.04,0.0025
-137.87,2.53,0.0026
-138.72,2.51,0.0027
-137.82,2.38,0.0029
-138.64,2.28,0.003
-138.25,2.99,0.0031
-137.99,2.0,0.0032
-137.46,1.67,0.0034
-137.94,2.14,0.0035
-138.41,3.08,0.0037
-140.59,1.91,0.0038
-138.25,1.61,0.0039
-139.7,1.92,0.0041
-140.08,2.43,0.0042
-139.69,0.99,0.0043
-139.75,1.42,0.0044
-139.89,1.77,0.0046
-139.66,1.72,0.0047
-139.46,1.7,0.0048
-137.75,1.77,0.0049
-139.54,1.81,0.0051
-139.02,2.12,0.0052
-137.53,2.77,0.0053
-138.41,0.39,0.0055
-135.45,3.2,0.0056
-137.49,3.18,0.0057
-137.91,3.77,0.0058
-140.61,3.85,0.006
-135.92,2.92,0.0061
-139.12,2.31,0.0062
-139.49,2.33,0.0063
-137.76,2.16,0.0065
-136.61,1.5,0.0066
-136.32,0.75,0.0067
-136.74,0.33,0.0068
-135.55,2.15,0.012
-137.93,2.28,0.1188
-133.67,1.32,0.2211
-137.64,3.2,0.3275
-139.81,1.25,0.4299
-139.85,2.08,0.5368
-138.42,2.75,0.6388
-139.96,2.0,0.7454
-138.36,2.4,0.8477
-139.15,2.42,0.9546
-139.12,2.39,1.0566
-139.92,2.33,1.1634
-138.51,2.4,1.2654
-139.06,2.26,1.3721
-139.29,2.74,1.4782
-139.37,2.66,1.5809
-139.28,2.3,1.6869
-138.72,2.52,1.7898
-139.03,2.49,1.8958
-139.11,2.78,1.9987
-138.49,2.2,2.1047
-138.81,2.17,2.2076
-139.04,2.1,2.3136
-138.47,2.51,2.4165
-138.69,2.5,2.5225
-139.34,2.99,2.6253
-138.23,2.78,2.7314
-137.29,1.91,2.8343
-139.81,2.58,2.9403
-137.88,-0.45,3.0432
-137.51,2.85,3.1492
-137.96,2.52,3.2521
-138.0,2.95,3.358
-137.79,2.17,3.4609
-138.19,2.2,3.567
-138.59,3.37,3.6699
-138.76,4.11,3.7759
-135.43,-0.22,3.8787
-139.43,2.88,3.9848
-136.17,2.66,4.0877
-131.36,4.61,4.1936
-101.64,-2.77,4.2966
-126.47,-0.33,4.4026
-128.97,-0.48,4.5055
-121.12,5.69,4.6116
-112.77,5.71,4.7143
-118.22,5.21,4.8204
-153.8,-25.57,4.9233
-127.35,-2.62,5.0293
-123.95,1.82,5.132
-126.9,-13.14,5.2384
-141.74,1.3,5.341
-111.08,-6.47,5.4471
-97.03,11.04,5.5498
-149.93,9.84,5.6561
-163.79,3.18,5.7587
-154.79,-2.21,5.865
-115.0,12.43,5.9676
-112.98,12.82,6.0738
-145.23,-22.2,6.1765
-122.22,-9.69,6.2827
-131.06,-8.24,6.3853
-124.17,28.05,6.4916
-131.06,0.33,6.5943
-112.19,4.29,6.7005
-159.17,-15.98,6.8066
-164.32,12.93,6.9094
-162.86,5.69,7.0155
-137.47,4.16,7.1183
-96.34,5.44,7.2244
-115.4,2.42,7.327
-135.37,-9.83,7.4334
-126.74,3.42,7.5361
-128.12,-6.47,7.6423
-126.29,1.16,7.745
-131.56,-1.25,7.8512
-110.79,4.67,7.9538
-147.57,-5.36,8.0602
-160.57,9.23,8.1627
-157.81,12.47,8.269
-140.25,9.34,8.3716
-107.24,11.15,8.478
-140.02,3.76,8.5805
-146.94,-27.23,8.6869
-129.04,-8.98,8.7893
-126.9,-7.02,8.8959
-126.87,-1.23,8.9982
-133.51,-0.34,9.1047
-120.26,2.03,9.2072
-102.7,12.33,9.314
-148.5,7.85,9.416
-157.1,-0.61,9.5228
-152.27,24.09,9.6248
-119.81,10.79,9.7317
-127.33,3.95,9.8337
-138.97,40.93,9.9407
-129.17,0.06,10.0427
-120.47,9.03,10.1492
-124.93,2.24,10.2514
-126.14,5.04,10.3582
-120.22,3.91,10.4603
-130.42,19.81,10.5671
-162.52,1.59,10.6692
-152.59,0.63,10.7759
-130.26,20.3,10.8819
-137.82,6.56,10.9848
-123.98,25.48,11.0908
-132.97,8.28,11.1936
-128.75,5.16,11.2997
-130.6,2.98,11.4026
-131.68,5.35,11.5086
-132.85,1.39,11.6114
-130.09,1.23,11.7174
-131.35,-0.14,11.8205
-133.6,1.1,11.9265
-131.18,2.28,12.0293
-132.7,1.92,12.1353
-132.25,4.05,12.2385
-132.37,6.01,12.3443
-133.08,4.32,12.4471
-132.97,4.16,12.5531
-132.89,4.27,12.6559
-131.39,2.88,12.762
-133.14,3.64,12.8648
-134.57,3.27,12.9708
-134.9,3.08,13.0738
-135.82,4.09,13.1799
-135.63,4.86,13.2828
-135.94,3.83,13.3887
-134.45,4.57,13.4917
-133.74,4.81,13.5976
-134.74,4.54,13.7004
-135.31,5.05,13.8065
-134.69,3.84,13.9093
-134.82,3.93,14.0155
-135.04,4.04,14.118
-134.94,4.77,14.2242
-136.12,4.28,14.3269
-136.07,5.37,14.4332
-136.81,5.84,14.5358
-136.67,5.09,14.6419
-137.04,4.99,14.7446
-137.07,4.8,14.8508
