,Pitch,Roll,Time,Yaw
158,39.0,-30.0,28.077,155.0
159,76.0,-11.0,28.148,157.0
160,38.0,-15.0,28.218999999999998,168.0
161,50.0,15.0,28.291,139.0
162,51.0,-37.0,28.363000000000003,-167.0
163,70.0,-5.0,28.435,172.0
164,70.0,-3.0,28.507,107.0
165,75.0,-13.0,28.578,-132.0
166,77.0,-9.0,28.650000000000002,48.0
167,71.0,-19.0,28.721999999999998,-85.0
168,82.0,-7.0,28.793000000000003,-114.0
169,50.0,-4.0,28.865,113.0
170,30.0,-17.0,28.935999999999996,36.0
171,15.0,-20.0,29.008,-31.0
172,12.0,-20.0,29.080000000000002,-148.0
173,23.0,-24.0,29.154999999999998,8.0
174,78.0,-1.0,29.226000000000003,-43.0
175,47.0,-15.0,29.297,4.0
176,78.0,12.0,29.368999999999996,-44.0
177,31.0,-24.0,29.441,163.0
178,53.0,13.0,29.513,-32.0
179,57.0,-22.0,29.584,136.0
180,73.0,-13.0,29.656000000000002,-50.0
181,83.0,-1.0,29.727999999999998,-79.0
182,59.0,-11.0,29.799000000000003,51.0
183,68.0,-17.0,29.871,64.0
184,74.0,-14.0,29.943,-163.0
185,25.0,12.0,30.014,-131.0
186,71.0,-16.0,30.084999999999997,82.0
187,55.0,3.0,30.157999999999998,95.0
188,28.0,-17.0,30.229000000000003,44.0
189,20.0,-26.0,30.301,-92.0
190,26.0,-25.0,30.374,-152.0
191,43.0,-9.0,30.444999999999997,172.0
192,69.0,-20.0,30.516000000000002,-139.0
193,57.0,-13.0,30.587999999999997,-147.0
194,86.0,-2.0,30.659000000000002,-117.0
195,19.0,-7.0,30.73,-145.0
196,55.0,12.0,30.802000000000003,-71.0
197,59.0,-4.0,30.874,44.0
198,65.0,-17.0,30.944999999999997,64.0
199,67.0,-5.0,31.017,25.0
200,66.0,-5.0,31.087999999999997,22.0
201,68.0,-7.0,31.160999999999998,-117.0
