Roll,Pitch,Yaw,Time
-19.95,65.61,-133.27,24.1973
-17.7,69.9,-133.52,24.357
-13.24,55.32,-138.98,24.5169
-31.51,55.01,-122.02,24.6806
-32.98,49.23,-121.75,24.8402
-21.91,53.16,-130.91,25.0002
-24.1,64.66,-125.81,25.1599
-9.65,75.68,-135.4,25.3237
-9.42,71.18,-136.43,25.4836
-16.92,70.11,-131.49,25.6432
