Roll,Pitch,Yaw,Time
-12.04,77.33,-134.8,0.0114
-12.17,77.25,-133.89,0.0114
-12.02,77.43,-135.23,0.0115
-12.37,76.96,-134.48,0.0116
-11.84,77.45,-134.24,0.0116
-11.63,77.75,-135.76,0.0117
-12.23,77.21,-135.04,0.0117
-11.66,77.7,-135.08,0.0118
-12.13,77.36,-134.57,0.0119
-11.82,77.45,-135.21,0.0119
-12.09,77.27,-133.86,0.012
-12.53,76.9,-134.69,0.012
-12.15,77.29,-134.23,0.0121
-11.87,77.29,-133.49,0.0122
-12.17,77.25,-134.67,0.0122
-12.42,77.01,-135.18,0.0123
-11.73,77.51,-134.2,0.0123
-11.92,77.27,-134.45,0.0124
-12.11,77.32,-133.77,0.0125
-12.27,77.09,-135.85,0.0125
-12.09,77.16,-134.2,0.0126
-12.5,76.84,-134.02,0.0126
-12.11,77.14,-133.45,0.0127
-12.06,77.24,-134.45,0.0128
-12.08,77.31,-134.62,0.0128
-12.41,76.98,-134.7,0.0129
-12.53,76.88,-135.38,0.0129
-12.17,77.13,-134.94,0.013
-12.32,76.8,-134.14,0.0131
-11.91,77.19,-134.03,0.0131
-12.01,77.23,-135.31,0.0132
-12.37,76.9,-133.48,0.0132
-12.0,77.35,-135.27,0.0133
-11.94,77.3,-133.38,0.0134
-12.45,76.99,-133.75,0.0134
-12.54,76.76,-134.48,0.0135
-12.15,77.07,-134.5,0.0135
-12.42,76.83,-134.07,0.0136
-12.02,77.18,-134.57,0.0137
-12.1,76.98,-133.37,0.0137
-12.09,77.22,-135.24,0.0138
-12.25,77.08,-134.55,0.0138
-12.23,77.1,-135.05,0.0139
-11.65,77.78,-134.53,0.014
-12.22,77.04,-134.36,0.014
-12.29,77.21,-134.51,0.0141
-12.33,77.14,-133.98,0.0141
-12.02,77.43,-134.3,0.0142
-12.28,77.07,-134.04,0.0143
-12.62,76.9,-134.36,0.0143
-12.71,76.86,-133.09,0.0144
-12.37,77.05,-135.06,0.0144
-12.05,77.18,-134.62,0.0145
-12.37,77.15,-135.08,0.0146
-12.35,77.11,-133.82,0.0146
-11.73,77.65,-135.15,0.0147
-12.39,77.06,-135.11,0.0147
-12.41,77.21,-134.44,0.0148
-12.31,77.24,-134.8,0.0149
-12.57,76.89,-134.53,0.0149
-12.32,77.23,-132.67,0.015
-12.5,77.01,-134.05,0.015
-12.57,76.87,-134.26,0.0151
-12.39,77.17,-134.9,0.0152
-12.22,77.28,-133.56,0.0152
-12.41,77.02,-134.46,0.0153
-12.08,77.19,-134.36,0.0153
-12.29,77.04,-134.94,0.0154
-12.22,77.21,-135.2,0.0155
-12.18,77.17,-133.61,0.0155
-12.71,76.73,-133.83,0.0156
-12.3,77.03,-134.6,0.0156
-12.82,76.68,-134.84,0.0157
-12.4,76.82,-134.74,0.0158
-12.62,76.91,-134.0,0.0158
-12.26,77.0,-134.42,0.0159
-12.49,76.91,-135.06,0.0159
-12.51,76.75,-133.78,0.016
-12.46,76.94,-134.24,0.016
-12.37,77.03,-133.73,0.0161
